,Company,PriceRs.,Day HighRs.
0,Siemens,7119.3,7240
1,Hindustan Aeron,4182.35,4193.6
2,Vedanta,437.4,449
3,Oberoi Realty,1574.15,1629.05
4,CG Power & Indl.Soln,641.5,649.5
5,Mahindra & Mahindra,2302.3,2317.15
6,Thermax,5087.8,5382.4
7,Hitachi Energy India,10745.65,10849.95
8,Biocon,311.9,321.2
9,Adani Power,639.75,647.8
10,Cummins India,3683.2,3704
11,Hero MotoCorp,5057.3,5103
12,Polycab India,6466.9,6534.7
13,Interglobe Aviation,4295.5,4314.4
14,Linde India,8775.3,9043
