Company Name,Website URL,LinkedIn URL
EOC Partners,https://www.linkedin.com/company/eoc-partners,https://www.linkedin.com/company/eoc-partners
Remium Nordic,,https://www.linkedin.com/company/alpcot-agro
Endava Private Equity Group,https://www.linkedin.com/in/andrewbourne,https://www.linkedin.com/company/endava
Deltabase,https://uk.linkedin.com/company/agency-delta,https://uk.linkedin.com/company/agency-delta
AHB Rechtsanwälte,https://www.linkedin.com/company/ahb-rechtsanw%C3%A4lte-arends-hofert-bergemann,https://www.linkedin.com/company/ahb-rechtsanw%C3%A4lte-arends-hofert-bergemann
