Rk,Name,Age,Pos,GP,G,A,P,PIM,+/-,TOI,ES,PP,SH,ESG,PPG,SHG,GWG,OTG,ESA,PPA,SHA,GWA,OTA,ESP,PPP,SHP,GWP,OTP,PPP%,G/60,A/60,P/60,ESG/60,ESA/60,ESP/60,PPG/60,PPA/60,PPP/60,G/GP,A/GP,P/GP,SHOTS,SH%,HITS,BS,FOW,FOL,FO%
23,Austin Watson,31,F,33,2,2,4,93,2,7:15,7:09,0:02,0:03,2,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0.00%,0.501,0.501,1.001,0.508,0.508,1.016,0,0,0,0.061,0.061,0.121,17,11.80%,85,20,0,4,0.00%
24,Cole Koepke,25,F,9,0,2,2,0,0,6:42,6:41,0:00,0:00,0,0,0,0,0,2,0,0,1,0,2,0,0,1,0,0.00%,0,1.989,1.989,0,1.991,1.991,0,0,0,0,0.222,0.222,9,0.00%,23,1,0,0,0.00%
25,Max Crozier,23,D,13,0,2,2,7,-2,12:56,12:52,0:00,0:03,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0.00%,0,0.714,0.714,0,0.717,0.717,0,0,0,0,0.154,0.154,13,0.00%,16,11,0,0,0.00%
26,Mathew Dumba,29,D,18,0,2,2,33,-5,18:38,16:25,0:15,1:57,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0.00%,0,0.358,0.358,0,0.406,0.406,0,0,0,0,0.111,0.111,25,0.00%,52,24,0,0,0.00%
27,Andrei Vasilevski,29,G,52,0,2,2,2,,,,,,0,0,0,0,0,,,,,,,,,0,0,0.00%,,,,,,,,,,0,0.038,0.038,,,,,,,
28,Waltteri Merelä,25,F,19,1,0,1,4,2,9:48,8:59,0:00,0:49,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.00%,0.322,0,0.322,0.351,0,0.351,0,0,0,0.053,0,0.053,17,5.90%,32,6,1,3,25.00%
29,Jack Thompson,21,D,1,0,0,0,0,0,11:39,11:39,0:00,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00%,2,0,0,0,0.00%
30,Declan Carlile,23,D,1,0,0,0,0,1,11:27,11:27,0:00,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,1,2,0,0,0.00%
31,Gage Goncalves,22,F,2,0,0,0,6,0,9:57,9:57,0:00,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2,0,0,1,0.00%
32,Zach Bogosian,33,D,4,0,0,0,0,0,11:57,11:38,0:00,0:18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,6,0.00%,4,2,0,0,0.00%
33,Philippe Myers,26,D,5,0,0,0,2,-2,11:41,11:18,0:01,0:22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,6,0.00%,8,6,0,0,0.00%
34,Matt Tomkins,29,G,6,0,0,0,0,,,,,,0,0,0,0,0,,,,,,,,,0,0,0.00%,,,,,,,,,,0,0,0,,,,,,,
35,Jonas Johansson,28,G,26,0,0,0,0,,,,,,0,0,0,0,0,,,,,,,,,0,0,0.00%,,,,,,,,,,0,0,0,,,,,,,
